img link,date,location,species,clicked By,scientific name,latitude,longitude
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p843x403/74472984_2671213049565501_7360847881122611200_o.jpg?_nc_cat=109&ccb=2&_nc_sid=825194&_nc_ohc=1S4RXajNBJkAX_R3McJ&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=abf295493815d3a8c5e699f111c6e445&oe=6044828F,01-Oct-19,"Abloli, Chiplun",Banana skipper (Erionota torus),Viraj Khorjuwekar,Erionota torus,17.53231,73.517792
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/75513503_2590458324377530_8795627503587688448_o.jpg?_nc_cat=106&ccb=2&_nc_sid=825194&_nc_ohc=MD8lyc-ppfwAX9DGizs&_nc_ht=scontent.fbom5-1.fna&oh=f72d0f2e602aca3f4da4683e4ac78ba3&oe=6044D02C,10-Nov-19,"Tungareshwar WLS,Palghar District-Maharashtra.",Banana Skipper(Erionota torus),Sagar Sarang,Erionota torus,19.403315,72.95787
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/80669579_2595573844059710_4300492054166765568_o.jpg?_nc_cat=100&ccb=2&_nc_sid=825194&_nc_ohc=RpFEjQQjbmYAX_I-XbI&_nc_ht=scontent.fbom5-1.fna&oh=cc664dabb3ad0eff8b33bf28abd3f0b7&oe=60427940,01-Jul-19,"Kadma, Bankura, West Bengal",Indian Skipper (Spialia galba),Aniruddha Singhamahapatra,Spialia galba,22.9888,87.0106
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/67952254_10216638915504356_8827473410482241536_o.jpg?_nc_cat=101&ccb=2&_nc_sid=825194&_nc_ohc=fk-3qVZzDqIAX_d1TCd&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=461db53175bfc3b765b51011c6682f1c&oe=6042BCF6,12-Aug-19,"Palakkad, Kerala",Skipper,Balachandran Puliyampotta,Spialia galba,10.7867,76.6548
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/71770440_10217378842617140_4483300430813593600_o.jpg?_nc_cat=100&ccb=2&_nc_sid=825194&_nc_ohc=6QLsJ34rQ4UAX-M9gnj&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=76002afe4b15edbe1896f14d29f6aef2&oe=6045F831,01-Sep-19,"Gonikopalu,Karnataka.",Grizzled Skipper,Gopakumar VR Namboothiri,Spialia galba,12.1843,75.9263
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/62608377_10216593114614431_1564017361655169024_o.jpg?_nc_cat=102&ccb=2&_nc_sid=825194&_nc_ohc=03KgqP5oZQgAX8p0FFq&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=76589439ddebb611deb3e9528569086e&oe=6044774B,16-Jun-19,"Ramdevara Bette,Bangalore,Karnataka.",African Marbled Skipper,Gopakumar VR Namboothiri,Gomalia elma,12.7532,77.3014
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/67673610_2324763297747461_8675606558056382464_o.jpg?_nc_cat=103&ccb=2&_nc_sid=825194&_nc_ohc=4pWehT9w6N4AX8JFc7j&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=c8b39c7c19331635f8a5c90090e7e0c7&oe=6042D438,29-Jul-19,"Ratnagiri, Maharashtra, India.",Indian Grizzled skipper,Netra Palkar-Apte,Spialia galba,16.9902,73.312
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/72458483_2847551611956989_1037854554743373824_o.jpg?_nc_cat=102&ccb=2&_nc_sid=825194&_nc_ohc=i1C8f30IiP8AX8SQf8K&_nc_ht=scontent.fbom5-1.fna&oh=2428588355f2ce749e4b04593b4c20f6&oe=60435FAB,11.10.2018,"Reshi, Sikkim","Grizzled Skipper,",Krishna Nath Pandit,Spialia galba,27.1818,88.6507
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/68928354_2443743362377088_523360585564291072_o.jpg?_nc_cat=101&ccb=2&_nc_sid=825194&_nc_ohc=gnoxbEtCJh0AX_VWBp7&_nc_ht=scontent.fbom5-1.fna&tp=7&oh=7a6070d1a7fb549565e9176039c7b173&oe=6045A3A8,26-Aug-19,Gujrat,Rice skipper,Vanraj Odedra,Pelopidas P. mathias,22.2587,71.1924
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/60527679_2417826644914345_374061144328896512_o.jpg?_nc_cat=105&ccb=2&_nc_sid=825194&_nc_ohc=_1cE52rKay4AX9iGV71&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=5e2cf31c39375b9ed60da6b520baa5d8&oe=60446962,19-May-19,"Sindhudurg, Maharashtra",Indian Grizzled skipper,Mangal Rane,Spialia galba,16.3492,73.5594
